obs_id,fgm_pred
id_000001,0
id_000002,0
id_000003,0
id_000004,0
id_000005,0
id_000006,0
id_000007,1
id_000008,1
id_000009,0
id_000010,0
id_000011,0
id_000012,0
id_000013,0
id_000014,1
id_000015,1
id_000016,0
id_000017,0
id_000018,0
id_000019,1
id_000020,0
id_000021,1
id_000022,0
id_000023,0
id_000024,0
id_000025,0
id_000026,1
id_000027,0
id_000028,1
id_000029,1
id_000030,0
id_000031,0
id_000032,0
id_000033,0
id_000034,0
id_000035,1
id_000036,0
id_000037,0
id_000038,1
id_000039,1
id_000040,0
id_000041,1
id_000042,1
id_000043,0
id_000044,1
id_000045,0
id_000046,0
id_000047,1
id_000048,0
id_000049,0
id_000050,0
id_000051,0
id_000052,1
id_000053,0
id_000054,0
id_000055,1
id_000056,1
id_000057,0
id_000058,1
id_000059,1
id_000060,0
id_000061,1
id_000062,0
id_000063,1
id_000064,0
id_000065,0
id_000066,0
id_000067,0
id_000068,0
id_000069,1
id_000070,0
id_000071,1
id_000072,0
id_000073,1
id_000074,0
id_000075,0
id_000076,0
id_000077,0
id_000078,0
id_000079,1
id_000080,1
id_000081,0
id_000082,0
id_000083,1
id_000084,1
id_000085,1
id_000086,0
id_000087,0
id_000088,0
id_000089,1
id_000090,1
id_000091,0
id_000092,1
id_000093,0
id_000094,0
id_000095,0
id_000096,0
id_000097,1
id_000098,1
id_000099,1
id_000100,0
id_000101,0
id_000102,1
id_000103,0
id_000104,0
id_000105,1
id_000106,1
id_000107,1
id_000108,0
id_000109,0
id_000110,0
id_000111,1
id_000112,0
id_000113,0
id_000114,1
id_000115,0
id_000116,0
id_000117,0
id_000118,0
id_000119,1
id_000120,0
id_000121,0
id_000122,1
id_000123,1
id_000124,0
id_000125,0
id_000126,0
id_000127,0
id_000128,0
id_000129,0
id_000130,0
id_000131,0
id_000132,0
id_000133,0
id_000134,1
id_000135,0
id_000136,0
id_000137,1
id_000138,0
id_000139,1
id_000140,0
id_000141,0
id_000142,0
id_000143,0
id_000144,1
id_000145,1
id_000146,0
id_000147,0
id_000148,1
id_000149,0
id_000150,1
id_000151,0
id_000152,0
id_000153,0
id_000154,1
id_000155,1
id_000156,0
id_000157,0
id_000158,1
id_000159,1
id_000160,0
id_000161,0
id_000162,1
id_000163,0
id_000164,0
id_000165,1
id_000166,0
id_000167,0
id_000168,0
id_000169,0
id_000170,0
id_000171,0
id_000172,1
id_000173,0
id_000174,0
id_000175,0
id_000176,0
id_000177,1
id_000178,0
id_000179,0
id_000180,0
id_000181,0
id_000182,1
id_000183,1
id_000184,0
id_000185,0
id_000186,1
id_000187,1
id_000188,0
id_000189,1
id_000190,0
id_000191,0
id_000192,0
id_000193,1
id_000194,1
id_000195,1
id_000196,1
id_000197,1
id_000198,1
id_000199,0
id_000200,0
id_000201,1
id_000202,0
id_000203,0
id_000204,1
id_000205,0
id_000206,0
id_000207,1
id_000208,0
id_000209,0
id_000210,0
id_000211,0
id_000212,1
id_000213,1
id_000214,0
id_000215,0
id_000216,0
id_000217,0
id_000218,0
id_000219,0
id_000220,1
id_000221,0
id_000222,1
id_000223,1
id_000224,0
id_000225,0
id_000226,1
id_000227,1
id_000228,1
id_000229,0
id_000230,1
id_000231,1
id_000232,0
id_000233,1
id_000234,0
id_000235,0
id_000236,1
id_000237,0
id_000238,0
id_000239,1
id_000240,1
id_000241,0
id_000242,1
id_000243,1
id_000244,0
id_000245,1
id_000246,0
id_000247,0
id_000248,0
id_000249,0
id_000250,0
id_000251,0
id_000252,0
id_000253,0
id_000254,0
id_000255,0
id_000256,0
id_000257,0
id_000258,0
id_000259,1
id_000260,1
id_000261,0
id_000262,1
id_000263,0
id_000264,0
id_000265,0
id_000266,0
id_000267,1
id_000268,1
id_000269,0
id_000270,0
id_000271,0
id_000272,0
id_000273,0
id_000274,1
id_000275,0
id_000276,0
id_000277,0
id_000278,1
id_000279,1
id_000280,1
id_000281,1
id_000282,1
id_000283,1
id_000284,1
id_000285,1
id_000286,1
id_000287,0
id_000288,0
id_000289,0
id_000290,1
id_000291,1
id_000292,0
id_000293,1
id_000294,0
id_000295,1
id_000296,1
id_000297,0
id_000298,0
id_000299,1
id_000300,0
id_000301,0
id_000302,0
id_000303,1
id_000304,1
id_000305,0
id_000306,1
id_000307,0
id_000308,1
id_000309,0
id_000310,0
id_000311,0
id_000312,1
id_000313,0
id_000314,1
id_000315,1
id_000316,0
id_000317,0
id_000318,0
id_000319,0
id_000320,0
id_000321,0
id_000322,1
id_000323,0
id_000324,0
id_000325,0
id_000326,0
id_000327,1
id_000328,0
id_000329,0
id_000330,1
id_000331,1
id_000332,1
id_000333,0
id_000334,0
id_000335,0
id_000336,0
id_000337,0
id_000338,0
id_000339,0
id_000340,0
id_000341,1
id_000342,1
id_000343,1
id_000344,1
id_000345,0
id_000346,0
id_000347,0
id_000348,0
id_000349,0
id_000350,1
id_000351,1
id_000352,0
id_000353,1
id_000354,0
id_000355,0
id_000356,1
id_000357,0
id_000358,1
id_000359,1
id_000360,1
id_000361,0
id_000362,1
id_000363,0
id_000364,0
id_000365,0
id_000366,0
id_000367,0
id_000368,1
id_000369,0
id_000370,1
id_000371,1
id_000372,1
id_000373,1
id_000374,1
id_000375,1
id_000376,0
id_000377,0
id_000378,1
id_000379,0
id_000380,0
id_000381,1
id_000382,0
id_000383,1
id_000384,0
id_000385,0
id_000386,1
id_000387,0
id_000388,0
id_000389,1
id_000390,1
id_000391,0
id_000392,0
id_000393,1
id_000394,0
id_000395,1
id_000396,1
id_000397,1
id_000398,1
id_000399,1
id_000400,1
id_000401,1
id_000402,0
id_000403,0
id_000404,0
id_000405,0
id_000406,1
id_000407,1
id_000408,0
id_000409,1
id_000410,0
id_000411,0
id_000412,1
id_000413,0
id_000414,1
id_000415,1
id_000416,1
id_000417,1
id_000418,0
id_000419,1
id_000420,1
id_000421,1
id_000422,1
id_000423,0
id_000424,1
id_000425,1
id_000426,0
id_000427,1
id_000428,0
id_000429,0
id_000430,0
id_000431,0
id_000432,0
id_000433,0
id_000434,0
id_000435,1
id_000436,0
id_000437,0
id_000438,1
id_000439,0
id_000440,0
id_000441,1
id_000442,0
id_000443,0
id_000444,0
id_000445,0
id_000446,0
id_000447,0
id_000448,0
id_000449,0
id_000450,0
id_000451,0
id_000452,0
id_000453,1
id_000454,0
id_000455,0
id_000456,1
id_000457,0
id_000458,1
id_000459,0
id_000460,1
id_000461,0
id_000462,0
id_000463,1
id_000464,0
id_000465,1
id_000466,0
id_000467,0
id_000468,1
id_000469,0
id_000470,1
id_000471,1
id_000472,0
id_000473,0
id_000474,1
id_000475,0
id_000476,0
id_000477,1
id_000478,0
id_000479,1
id_000480,1
id_000481,0
id_000482,1
id_000483,0
id_000484,0
id_000485,1
id_000486,1
id_000487,0
id_000488,1
id_000489,0
id_000490,0
id_000491,0
id_000492,0
id_000493,0
id_000494,0
id_000495,0
id_000496,1
id_000497,0
id_000498,1
id_000499,0
id_000500,0
id_000501,0
id_000502,0
id_000503,1
id_000504,0
id_000505,0
id_000506,0
id_000507,0
id_000508,0
id_000509,0
id_000510,0
id_000511,1
id_000512,0
id_000513,0
id_000514,1
id_000515,0
id_000516,1
id_000517,0
id_000518,1
id_000519,0
id_000520,0
id_000521,0
id_000522,0
id_000523,0
id_000524,0
id_000525,0
id_000526,1
id_000527,0
id_000528,0
id_000529,1
id_000530,0
id_000531,0
id_000532,1
id_000533,0
id_000534,1
id_000535,0
id_000536,0
id_000537,1
id_000538,1
id_000539,1
id_000540,1
id_000541,1
id_000542,0
id_000543,0
id_000544,0
id_000545,0
id_000546,1
id_000547,1
id_000548,1
id_000549,0
id_000550,0
id_000551,0
id_000552,1
id_000553,0
id_000554,0
id_000555,0
id_000556,0
id_000557,1
id_000558,0
id_000559,0
id_000560,0
id_000561,0
id_000562,1
id_000563,0
id_000564,0
id_000565,1
id_000566,0
id_000567,1
id_000568,1
id_000569,0
id_000570,1
id_000571,0
id_000572,0
id_000573,0
id_000574,0
id_000575,0
id_000576,0
id_000577,0
id_000578,0
id_000579,1
id_000580,0
id_000581,0
id_000582,0
id_000583,1
id_000584,0
id_000585,0
id_000586,1
id_000587,1
id_000588,0
id_000589,1
id_000590,1
id_000591,1
id_000592,1
id_000593,0
id_000594,0
id_000595,1
id_000596,0
id_000597,0
id_000598,0
id_000599,0
id_000600,0
id_000601,0
id_000602,1
id_000603,1
id_000604,0
id_000605,0
id_000606,1
id_000607,1
id_000608,1
id_000609,1
id_000610,1
id_000611,1
id_000612,0
id_000613,0
id_000614,0
id_000615,0
id_000616,0
id_000617,1
id_000618,1
id_000619,0
id_000620,1
id_000621,0
id_000622,0
id_000623,0
id_000624,0
id_000625,1
id_000626,1
id_000627,0
id_000628,0
id_000629,1
id_000630,0
id_000631,0
id_000632,0
id_000633,0
id_000634,0
id_000635,0
id_000636,1
id_000637,1
id_000638,0
id_000639,1
id_000640,1
id_000641,1
id_000642,0
id_000643,0
id_000644,0
id_000645,1
id_000646,1
id_000647,0
id_000648,0
id_000649,1
id_000650,0
id_000651,1
id_000652,1
id_000653,0
id_000654,0
id_000655,1
id_000656,1
id_000657,0
id_000658,0
id_000659,0
id_000660,1
id_000661,1
id_000662,1
id_000663,1
id_000664,0
id_000665,0
id_000666,0
id_000667,1
id_000668,0
id_000669,1
id_000670,0
id_000671,1
id_000672,1
id_000673,1
id_000674,0
id_000675,1
id_000676,0
id_000677,0
id_000678,1
id_000679,1
id_000680,0
id_000681,1
id_000682,0
id_000683,1
id_000684,0
id_000685,0
id_000686,1
id_000687,0
id_000688,0
id_000689,0
id_000690,0
id_000691,1
id_000692,0
id_000693,1
id_000694,0
id_000695,1
id_000696,0
id_000697,0
id_000698,0
id_000699,1
id_000700,0
id_000701,0
id_000702,0
id_000703,0
id_000704,0
id_000705,0
id_000706,0
id_000707,1
id_000708,1
id_000709,0
id_000710,0
id_000711,0
id_000712,0
id_000713,0
id_000714,0
id_000715,0
id_000716,0
id_000717,0
id_000718,1
id_000719,1
id_000720,0
id_000721,0
id_000722,0
id_000723,0
id_000724,0
id_000725,1
id_000726,1
id_000727,0
id_000728,0
id_000729,0
id_000730,1
id_000731,1
id_000732,0
id_000733,0
id_000734,0
id_000735,1
id_000736,1
id_000737,0
id_000738,0
id_000739,0
id_000740,1
id_000741,0
id_000742,1
id_000743,1
id_000744,0
id_000745,0
id_000746,0
id_000747,0
id_000748,0
id_000749,0
id_000750,0
id_000751,0
id_000752,0
id_000753,1
id_000754,1
id_000755,0
id_000756,0
id_000757,0
id_000758,1
id_000759,1
id_000760,1
id_000761,0
id_000762,0
id_000763,0
id_000764,0
id_000765,0
id_000766,1
id_000767,0
id_000768,0
id_000769,0
id_000770,1
id_000771,0
id_000772,0
id_000773,0
id_000774,1
id_000775,1
id_000776,0
id_000777,0
id_000778,1
id_000779,1
id_000780,1
id_000781,0
id_000782,1
id_000783,0
id_000784,0
id_000785,1
id_000786,1
id_000787,0
id_000788,0
id_000789,0
id_000790,0
id_000791,0
id_000792,1
id_000793,0
id_000794,0
id_000795,0
id_000796,1
id_000797,0
id_000798,0
id_000799,0
id_000800,1
id_000801,1
id_000802,1
id_000803,0
id_000804,1
id_000805,1
id_000806,0
id_000807,0
id_000808,0
id_000809,0
id_000810,1
id_000811,1
id_000812,0
id_000813,1
id_000814,1
id_000815,0
id_000816,0
id_000817,0
id_000818,0
id_000819,1
id_000820,0
id_000821,1
id_000822,0
id_000823,0
id_000824,0
id_000825,0
id_000826,0
id_000827,0
id_000828,0
id_000829,0
id_000830,1
id_000831,0
id_000832,1
id_000833,0
id_000834,1
id_000835,1
id_000836,0
id_000837,1
id_000838,1
id_000839,1
id_000840,1
id_000841,0
id_000842,0
id_000843,0
id_000844,0
id_000845,0
id_000846,1
id_000847,1
id_000848,1
id_000849,0
id_000850,1
id_000851,1
id_000852,0
id_000853,0
id_000854,1
id_000855,1
id_000856,1
id_000857,0
id_000858,0
id_000859,0
id_000860,1
id_000861,0
id_000862,0
id_000863,0
id_000864,1
id_000865,0
id_000866,0
id_000867,0
id_000868,1
id_000869,0
id_000870,0
id_000871,0
id_000872,1
id_000873,0
id_000874,0
id_000875,0
id_000876,1
id_000877,0
id_000878,1
id_000879,0
id_000880,0
id_000881,1
id_000882,1
id_000883,0
id_000884,0
id_000885,0
id_000886,1
id_000887,0
id_000888,0
id_000889,1
id_000890,0
id_000891,1
id_000892,1
id_000893,0
id_000894,0
id_000895,0
id_000896,0
id_000897,0
id_000898,1
id_000899,1
id_000900,0
id_000901,1
id_000902,1
id_000903,1
id_000904,1
id_000905,0
id_000906,0
id_000907,1
id_000908,0
id_000909,0
id_000910,0
id_000911,0
id_000912,1
id_000913,1
id_000914,0
id_000915,1
id_000916,1
id_000917,1
id_000918,1
id_000919,0
id_000920,0
id_000921,0
id_000922,0
id_000923,1
id_000924,0
id_000925,1
id_000926,1
id_000927,1
id_000928,1
id_000929,1
id_000930,0
id_000931,0
id_000932,0
id_000933,0
id_000934,0
id_000935,0
id_000936,0
id_000937,1
id_000938,0
id_000939,0
id_000940,0
id_000941,1
id_000942,0
id_000943,1
id_000944,1
id_000945,1
id_000946,1
id_000947,1
id_000948,1
id_000949,1
id_000950,0
id_000951,0
id_000952,0
id_000953,1
id_000954,0
id_000955,1
id_000956,1
id_000957,0
id_000958,0
id_000959,0
id_000960,1
id_000961,1
id_000962,0
id_000963,1
id_000964,1
id_000965,1
id_000966,1
id_000967,0
id_000968,0
id_000969,0
id_000970,1
id_000971,0
id_000972,0
id_000973,1
id_000974,1
id_000975,0
id_000976,0
id_000977,0
id_000978,1
id_000979,1
id_000980,1
id_000981,1
id_000982,1
id_000983,1
id_000984,1
id_000985,0
id_000986,1
id_000987,0
id_000988,1
id_000989,1
id_000990,0
id_000991,0
id_000992,1
id_000993,0
id_000994,0
id_000995,0
id_000996,1
id_000997,1
id_000998,1
id_000999,1
id_001000,0
id_001001,0
id_001002,1
id_001003,0
id_001004,0
id_001005,1
id_001006,0
id_001007,1
id_001008,1
id_001009,0
id_001010,1
id_001011,0
id_001012,1
id_001013,0
id_001014,0
id_001015,0
id_001016,1
id_001017,0
id_001018,0
id_001019,0
id_001020,0
id_001021,1
id_001022,0
id_001023,1
id_001024,1
id_001025,0
id_001026,0
id_001027,1
id_001028,0
id_001029,1
id_001030,1
id_001031,1
id_001032,0
