obs_id,crime_type_pred
id_000001,3
id_000002,1
id_000003,5
id_000004,4
id_000005,5
id_000006,1
id_000007,5
id_000008,2
id_000009,4
id_000010,1
id_000011,2
id_000012,4
id_000013,4
id_000014,2
id_000015,1
id_000016,4
id_000017,3
id_000018,3
id_000019,3
id_000020,2
id_000021,1
id_000022,4
id_000023,3
id_000024,5
id_000025,2
id_000026,1
id_000027,5
id_000028,3
id_000029,4
id_000030,4
id_000031,2
id_000032,4
id_000033,3
id_000034,5
id_000035,2
id_000036,4
id_000037,2
id_000038,3
id_000039,5
id_000040,3
id_000041,3
id_000042,2
id_000043,3
id_000044,3
id_000045,2
id_000046,1
id_000047,4
id_000048,2
id_000049,1
id_000050,5
id_000051,2
id_000052,2
id_000053,3
id_000054,2
id_000055,5
id_000056,3
id_000057,5
id_000058,4
id_000059,2
id_000060,1
id_000061,3
id_000062,5
id_000063,3
id_000064,3
id_000065,3
id_000066,1
id_000067,3
id_000068,3
id_000069,4
id_000070,4
id_000071,2
id_000072,2
id_000073,3
id_000074,5
id_000075,1
id_000076,1
id_000077,4
id_000078,2
id_000079,2
id_000080,3
id_000081,4
id_000082,3
id_000083,5
id_000084,3
id_000085,4
id_000086,3
id_000087,5
id_000088,3
id_000089,4
id_000090,3
id_000091,1
id_000092,3
id_000093,5
id_000094,3
id_000095,2
id_000096,3
id_000097,5
id_000098,1
id_000099,3
id_000100,3
id_000101,3
id_000102,2
id_000103,1
id_000104,3
id_000105,1
id_000106,4
id_000107,1
id_000108,2
id_000109,2
id_000110,1
id_000111,4
id_000112,1
id_000113,1
id_000114,3
id_000115,1
id_000116,2
id_000117,5
id_000118,5
id_000119,4
id_000120,3
id_000121,5
id_000122,1
id_000123,3
id_000124,3
id_000125,1
id_000126,3
id_000127,5
id_000128,3
id_000129,4
id_000130,3
id_000131,4
id_000132,1
id_000133,1
id_000134,5
id_000135,1
id_000136,1
id_000137,4
id_000138,5
id_000139,2
id_000140,3
id_000141,3
id_000142,1
id_000143,2
id_000144,3
id_000145,3
id_000146,5
id_000147,1
id_000148,3
id_000149,3
id_000150,3
id_000151,3
id_000152,4
id_000153,2
id_000154,1
id_000155,3
id_000156,4
id_000157,3
id_000158,1
id_000159,3
id_000160,2
id_000161,3
id_000162,3
id_000163,2
id_000164,5
id_000165,2
id_000166,1
id_000167,2
id_000168,2
id_000169,2
id_000170,2
id_000171,5
id_000172,3
id_000173,1
id_000174,4
id_000175,5
id_000176,2
id_000177,3
id_000178,3
id_000179,3
id_000180,3
id_000181,1
id_000182,3
id_000183,3
id_000184,4
id_000185,5
id_000186,5
id_000187,2
id_000188,2
id_000189,1
id_000190,3
id_000191,3
id_000192,5
id_000193,3
id_000194,2
id_000195,3
id_000196,3
id_000197,5
id_000198,4
id_000199,1
id_000200,5
id_000201,1
id_000202,4
id_000203,5
id_000204,2
id_000205,3
id_000206,3
id_000207,2
id_000208,3
id_000209,2
id_000210,4
id_000211,2
id_000212,3
id_000213,3
id_000214,3
id_000215,2
id_000216,5
id_000217,3
id_000218,4
id_000219,4
id_000220,1
id_000221,3
id_000222,5
id_000223,1
id_000224,1
id_000225,1
id_000226,3
id_000227,1
id_000228,4
id_000229,5
id_000230,5
id_000231,3
id_000232,2
id_000233,5
id_000234,3
id_000235,3
id_000236,3
id_000237,5
id_000238,5
id_000239,5
id_000240,5
id_000241,3
id_000242,1
id_000243,5
id_000244,3
id_000245,1
id_000246,4
id_000247,2
id_000248,5
id_000249,3
id_000250,3
id_000251,2
id_000252,1
id_000253,1
id_000254,3
id_000255,3
id_000256,5
id_000257,1
id_000258,5
id_000259,3
id_000260,5
id_000261,3
id_000262,1
id_000263,3
id_000264,2
id_000265,3
id_000266,4
id_000267,2
id_000268,3
id_000269,3
id_000270,3
id_000271,5
id_000272,3
id_000273,4
id_000274,3
id_000275,3
id_000276,5
id_000277,2
id_000278,1
id_000279,4
id_000280,1
id_000281,3
id_000282,4
id_000283,3
id_000284,5
id_000285,5
id_000286,3
id_000287,3
id_000288,5
id_000289,2
id_000290,2
id_000291,3
id_000292,2
id_000293,2
id_000294,3
id_000295,3
id_000296,1
id_000297,2
id_000298,3
id_000299,2
id_000300,3
id_000301,3
id_000302,2
id_000303,3
id_000304,2
id_000305,1
id_000306,5
id_000307,5
id_000308,5
id_000309,3
id_000310,3
id_000311,2
id_000312,1
id_000313,1
id_000314,3
id_000315,1
id_000316,1
id_000317,2
id_000318,5
id_000319,4
id_000320,3
id_000321,4
id_000322,1
id_000323,1
id_000324,2
id_000325,3
id_000326,5
id_000327,5
id_000328,5
id_000329,2
id_000330,3
id_000331,3
id_000332,1
id_000333,1
id_000334,2
id_000335,1
id_000336,3
id_000337,3
id_000338,5
id_000339,2
id_000340,1
id_000341,5
id_000342,2
id_000343,3
id_000344,5
id_000345,3
id_000346,5
id_000347,3
id_000348,2
id_000349,5
id_000350,2
id_000351,5
id_000352,1
id_000353,3
id_000354,5
id_000355,5
id_000356,5
id_000357,1
id_000358,4
id_000359,4
id_000360,4
id_000361,5
id_000362,3
id_000363,3
id_000364,3
id_000365,2
id_000366,3
id_000367,5
id_000368,1
id_000369,4
id_000370,3
id_000371,3
id_000372,4
id_000373,3
id_000374,1
id_000375,5
id_000376,2
id_000377,5
id_000378,1
id_000379,3
id_000380,2
id_000381,4
id_000382,5
id_000383,1
id_000384,2
id_000385,3
id_000386,5
id_000387,4
id_000388,1
id_000389,5
id_000390,4
id_000391,5
id_000392,1
id_000393,2
id_000394,4
id_000395,1
id_000396,5
id_000397,1
id_000398,4
id_000399,3
id_000400,5
id_000401,3
id_000402,4
id_000403,4
id_000404,4
id_000405,3
id_000406,5
id_000407,3
id_000408,4
id_000409,3
id_000410,2
id_000411,1
id_000412,3
id_000413,3
id_000414,3
id_000415,3
id_000416,3
id_000417,2
id_000418,1
id_000419,1
id_000420,3
id_000421,2
id_000422,1
id_000423,4
id_000424,3
id_000425,2
id_000426,3
id_000427,1
id_000428,2
id_000429,4
id_000430,3
id_000431,1
id_000432,4
id_000433,5
id_000434,3
id_000435,3
id_000436,3
id_000437,1
id_000438,3
id_000439,4
id_000440,2
id_000441,3
id_000442,3
id_000443,3
id_000444,2
id_000445,3
id_000446,3
id_000447,5
id_000448,5
id_000449,5
id_000450,5
id_000451,3
id_000452,2
id_000453,5
id_000454,4
id_000455,1
id_000456,3
id_000457,3
id_000458,5
id_000459,4
id_000460,2
id_000461,3
id_000462,5
id_000463,3
id_000464,4
id_000465,3
id_000466,2
id_000467,2
id_000468,3
id_000469,4
id_000470,3
id_000471,3
id_000472,1
id_000473,1
id_000474,1
id_000475,4
id_000476,3
id_000477,2
id_000478,5
id_000479,3
id_000480,4
id_000481,5
id_000482,2
id_000483,4
id_000484,5
id_000485,3
id_000486,4
id_000487,4
id_000488,2
id_000489,3
id_000490,2
id_000491,3
id_000492,4
id_000493,3
id_000494,2
id_000495,1
id_000496,3
id_000497,5
id_000498,4
id_000499,5
id_000500,2
id_000501,2
id_000502,3
id_000503,3
id_000504,3
id_000505,5
id_000506,3
id_000507,3
id_000508,3
id_000509,5
id_000510,4
id_000511,2
id_000512,2
id_000513,5
id_000514,3
id_000515,5
id_000516,2
id_000517,5
id_000518,3
id_000519,5
id_000520,3
id_000521,5
id_000522,1
id_000523,3
id_000524,1
id_000525,5
id_000526,4
id_000527,3
id_000528,5
id_000529,5
id_000530,5
id_000531,3
id_000532,5
id_000533,4
id_000534,4
id_000535,5
id_000536,1
id_000537,3
id_000538,5
id_000539,1
id_000540,3
id_000541,3
id_000542,3
id_000543,1
id_000544,5
id_000545,3
id_000546,2
id_000547,4
id_000548,1
id_000549,2
id_000550,2
id_000551,4
id_000552,5
id_000553,4
id_000554,3
id_000555,1
id_000556,4
id_000557,3
id_000558,2
id_000559,3
id_000560,2
id_000561,3
id_000562,1
id_000563,1
id_000564,4
id_000565,5
id_000566,3
id_000567,2
id_000568,4
id_000569,2
id_000570,4
id_000571,1
id_000572,3
id_000573,1
id_000574,2
id_000575,4
id_000576,3
id_000577,2
id_000578,4
id_000579,5
id_000580,1
id_000581,2
id_000582,5
id_000583,3
id_000584,1
id_000585,4
id_000586,1
id_000587,3
id_000588,3
id_000589,1
id_000590,3
id_000591,2
id_000592,3
id_000593,1
id_000594,4
id_000595,5
id_000596,3
id_000597,3
id_000598,4
id_000599,1
id_000600,1
id_000601,5
id_000602,5
id_000603,2
id_000604,3
id_000605,5
id_000606,3
id_000607,2
id_000608,5
id_000609,5
id_000610,1
id_000611,1
id_000612,2
id_000613,5
id_000614,4
id_000615,4
id_000616,2
id_000617,4
id_000618,3
id_000619,1
id_000620,4
id_000621,3
id_000622,4
id_000623,1
id_000624,1
id_000625,3
id_000626,2
id_000627,2
id_000628,2
id_000629,4
id_000630,3
id_000631,5
id_000632,3
id_000633,1
id_000634,3
id_000635,1
id_000636,5
id_000637,3
id_000638,3
id_000639,1
id_000640,4
id_000641,3
id_000642,5
id_000643,5
id_000644,3
id_000645,1
id_000646,1
id_000647,5
id_000648,5
id_000649,1
id_000650,1
id_000651,5
id_000652,1
id_000653,2
id_000654,3
id_000655,5
id_000656,1
id_000657,5
id_000658,3
id_000659,1
id_000660,3
id_000661,3
id_000662,5
id_000663,4
id_000664,1
id_000665,1
id_000666,1
id_000667,3
id_000668,1
id_000669,2
id_000670,3
id_000671,4
id_000672,1
id_000673,2
id_000674,2
id_000675,3
id_000676,4
id_000677,4
id_000678,5
id_000679,4
id_000680,5
id_000681,4
id_000682,5
id_000683,3
id_000684,3
id_000685,3
id_000686,1
id_000687,3
id_000688,3
id_000689,5
id_000690,3
id_000691,4
id_000692,5
id_000693,1
id_000694,5
id_000695,3
id_000696,1
id_000697,5
id_000698,1
id_000699,1
id_000700,2
id_000701,4
id_000702,3
id_000703,4
id_000704,2
id_000705,3
id_000706,4
id_000707,3
id_000708,2
id_000709,5
id_000710,1
id_000711,5
id_000712,3
id_000713,3
id_000714,3
id_000715,3
id_000716,5
id_000717,4
id_000718,4
id_000719,3
id_000720,3
id_000721,1
id_000722,2
id_000723,5
id_000724,4
id_000725,3
id_000726,2
id_000727,1
id_000728,1
id_000729,1
id_000730,1
id_000731,4
id_000732,5
id_000733,5
id_000734,3
id_000735,5
id_000736,2
id_000737,5
id_000738,3
id_000739,2
id_000740,3
id_000741,1
id_000742,1
id_000743,4
id_000744,5
id_000745,3
id_000746,5
id_000747,5
id_000748,5
id_000749,5
id_000750,3
id_000751,3
id_000752,3
id_000753,5
id_000754,3
id_000755,2
id_000756,3
id_000757,4
id_000758,2
id_000759,1
id_000760,1
id_000761,5
id_000762,1
id_000763,5
id_000764,3
id_000765,3
id_000766,4
id_000767,1
id_000768,2
id_000769,2
id_000770,4
id_000771,1
id_000772,3
id_000773,3
id_000774,3
id_000775,4
id_000776,3
id_000777,3
id_000778,3
id_000779,2
id_000780,5
id_000781,2
id_000782,3
id_000783,5
id_000784,5
id_000785,3
id_000786,5
id_000787,5
id_000788,3
id_000789,3
id_000790,4
id_000791,1
id_000792,1
id_000793,3
id_000794,3
id_000795,3
id_000796,4
id_000797,4
id_000798,3
id_000799,2
id_000800,3
id_000801,1
id_000802,1
id_000803,5
id_000804,5
id_000805,4
id_000806,3
id_000807,3
id_000808,4
id_000809,5
id_000810,3
id_000811,3
id_000812,3
id_000813,3
id_000814,2
id_000815,3
id_000816,5
id_000817,4
id_000818,1
id_000819,3
id_000820,3
id_000821,5
id_000822,2
id_000823,4
id_000824,5
id_000825,4
id_000826,4
id_000827,3
id_000828,3
id_000829,4
id_000830,5
id_000831,1
id_000832,3
id_000833,5
id_000834,2
id_000835,3
id_000836,4
id_000837,3
id_000838,3
id_000839,3
id_000840,1
id_000841,3
id_000842,2
id_000843,4
id_000844,4
id_000845,3
id_000846,1
id_000847,4
id_000848,2
id_000849,4
id_000850,5
id_000851,5
id_000852,1
id_000853,4
id_000854,2
id_000855,1
id_000856,2
id_000857,2
id_000858,3
id_000859,2
id_000860,3
id_000861,4
id_000862,2
id_000863,3
id_000864,5
id_000865,1
id_000866,2
id_000867,1
id_000868,2
id_000869,1
id_000870,4
id_000871,3
id_000872,4
id_000873,3
id_000874,5
id_000875,4
id_000876,3
id_000877,4
id_000878,1
id_000879,4
id_000880,3
id_000881,5
id_000882,4
id_000883,4
id_000884,3
id_000885,5
id_000886,1
id_000887,2
id_000888,2
id_000889,1
id_000890,3
id_000891,5
id_000892,3
id_000893,2
id_000894,2
id_000895,3
id_000896,3
id_000897,5
id_000898,5
id_000899,5
id_000900,2
id_000901,1
id_000902,3
id_000903,3
id_000904,5
id_000905,5
id_000906,1
id_000907,3
id_000908,2
id_000909,5
id_000910,3
id_000911,4
id_000912,3
id_000913,4
id_000914,3
id_000915,5
id_000916,1
id_000917,5
id_000918,5
id_000919,3
id_000920,1
id_000921,4
id_000922,2
id_000923,3
id_000924,3
id_000925,1
id_000926,2
id_000927,3
id_000928,3
id_000929,5
id_000930,3
id_000931,1
id_000932,4
id_000933,3
id_000934,3
id_000935,2
id_000936,3
id_000937,2
id_000938,2
id_000939,3
id_000940,4
id_000941,3
id_000942,3
id_000943,3
id_000944,3
id_000945,3
id_000946,1
id_000947,4
id_000948,4
id_000949,3
id_000950,4
id_000951,3
id_000952,2
id_000953,3
id_000954,5
id_000955,5
id_000956,3
id_000957,3
id_000958,3
id_000959,3
id_000960,5
id_000961,1
id_000962,3
id_000963,3
id_000964,4
id_000965,2
id_000966,2
id_000967,5
id_000968,5
id_000969,3
id_000970,5
id_000971,3
id_000972,3
id_000973,4
id_000974,1
id_000975,3
id_000976,3
id_000977,5
id_000978,3
id_000979,4
id_000980,1
id_000981,2
id_000982,4
id_000983,5
id_000984,2
id_000985,5
id_000986,5
id_000987,2
id_000988,2
id_000989,1
id_000990,2
id_000991,1
id_000992,5
id_000993,4
id_000994,2
id_000995,2
id_000996,3
id_000997,1
id_000998,2
id_000999,1
id_001000,5
id_001001,1
id_001002,1
id_001003,4
id_001004,1
id_001005,5
id_001006,5
id_001007,3
id_001008,2
id_001009,4
id_001010,2
id_001011,4
id_001012,4
id_001013,5
id_001014,5
id_001015,5
id_001016,1
id_001017,2
id_001018,4
id_001019,5
id_001020,3
id_001021,3
id_001022,2
id_001023,3
id_001024,5
id_001025,1
id_001026,1
id_001027,3
id_001028,5
id_001029,3
id_001030,3
id_001031,2
id_001032,5
id_001033,3
id_001034,5
id_001035,1
id_001036,3
id_001037,3
id_001038,3
id_001039,4
id_001040,3
id_001041,2
id_001042,3
id_001043,4
id_001044,3
id_001045,1
id_001046,4
id_001047,1
id_001048,3
id_001049,2
id_001050,3
id_001051,3
id_001052,5
id_001053,5
id_001054,2
id_001055,5
id_001056,1
id_001057,1
id_001058,3
id_001059,3
id_001060,4
id_001061,2
id_001062,1
id_001063,5
id_001064,3
id_001065,1
id_001066,1
id_001067,1
id_001068,5
id_001069,1
id_001070,2
id_001071,3
id_001072,3
id_001073,2
id_001074,5
id_001075,1
id_001076,3
id_001077,4
id_001078,1
id_001079,5
id_001080,5
id_001081,3
id_001082,1
id_001083,4
id_001084,3
id_001085,2
id_001086,3
id_001087,2
id_001088,1
id_001089,3
id_001090,2
id_001091,1
id_001092,4
id_001093,3
id_001094,5
id_001095,1
id_001096,4
id_001097,2
id_001098,1
id_001099,5
id_001100,5
id_001101,2
id_001102,5
id_001103,1
id_001104,2
id_001105,1
id_001106,2
id_001107,4
id_001108,5
id_001109,5
id_001110,2
id_001111,3
id_001112,1
id_001113,5
id_001114,3
id_001115,3
id_001116,4
id_001117,3
id_001118,3
id_001119,5
id_001120,1
id_001121,5
id_001122,3
id_001123,2
id_001124,5
id_001125,3
id_001126,1
id_001127,5
id_001128,2
id_001129,4
id_001130,3
id_001131,3
id_001132,4
id_001133,1
id_001134,2
id_001135,5
id_001136,4
id_001137,5
id_001138,2
id_001139,3
id_001140,4
id_001141,5
id_001142,4
id_001143,3
id_001144,3
id_001145,1
id_001146,4
id_001147,5
id_001148,1
id_001149,2
id_001150,1
id_001151,5
id_001152,1
id_001153,2
id_001154,3
id_001155,3
id_001156,5
id_001157,3
id_001158,1
id_001159,1
id_001160,3
id_001161,1
id_001162,4
id_001163,2
id_001164,2
id_001165,3
id_001166,4
id_001167,3
id_001168,1
id_001169,1
id_001170,4
id_001171,4
id_001172,2
id_001173,3
id_001174,2
id_001175,5
id_001176,2
id_001177,3
id_001178,4
id_001179,4
id_001180,1
id_001181,3
id_001182,5
id_001183,3
id_001184,5
id_001185,5
id_001186,5
id_001187,3
id_001188,3
id_001189,5
id_001190,1
id_001191,4
id_001192,5
id_001193,1
id_001194,5
id_001195,2
id_001196,1
id_001197,5
id_001198,5
id_001199,2
id_001200,3
id_001201,4
id_001202,3
id_001203,4
id_001204,3
id_001205,2
id_001206,3
id_001207,1
id_001208,2
id_001209,1
id_001210,5
id_001211,2
id_001212,2
id_001213,3
id_001214,4
id_001215,4
id_001216,3
id_001217,4
id_001218,5
id_001219,4
id_001220,5
id_001221,4
id_001222,3
id_001223,5
id_001224,1
id_001225,2
id_001226,2
id_001227,1
id_001228,3
id_001229,5
id_001230,4
id_001231,4
id_001232,2
id_001233,4
id_001234,5
id_001235,1
id_001236,1
id_001237,5
id_001238,3
id_001239,3
id_001240,3
id_001241,2
id_001242,2
id_001243,3
id_001244,3
id_001245,1
id_001246,3
id_001247,5
id_001248,3
id_001249,1
id_001250,5
id_001251,1
id_001252,1
id_001253,1
id_001254,3
id_001255,1
id_001256,4
id_001257,3
id_001258,1
id_001259,1
id_001260,5
id_001261,2
id_001262,4
id_001263,1
id_001264,3
id_001265,2
id_001266,4
id_001267,1
id_001268,4
id_001269,3
id_001270,5
id_001271,3
id_001272,3
id_001273,1
id_001274,4
id_001275,3
id_001276,1
id_001277,1
id_001278,1
id_001279,2
id_001280,3
id_001281,3
id_001282,3
id_001283,2
id_001284,2
id_001285,3
id_001286,3
id_001287,3
id_001288,3
id_001289,5
id_001290,2
id_001291,3
id_001292,3
id_001293,3
id_001294,3
id_001295,3
id_001296,1
id_001297,2
id_001298,4
id_001299,5
id_001300,3
id_001301,3
id_001302,1
id_001303,1
id_001304,1
id_001305,5
id_001306,2
id_001307,3
id_001308,1
id_001309,4
id_001310,5
id_001311,2
id_001312,3
id_001313,2
id_001314,5
id_001315,4
id_001316,3
id_001317,4
id_001318,4
id_001319,3
id_001320,3
id_001321,3
id_001322,4
id_001323,5
id_001324,3
id_001325,3
id_001326,5
id_001327,3
id_001328,1
id_001329,2
id_001330,3
id_001331,5
id_001332,4
id_001333,4
id_001334,1
id_001335,4
id_001336,2
id_001337,1
id_001338,3
id_001339,4
id_001340,5
id_001341,5
id_001342,3
id_001343,3
id_001344,3
id_001345,5
id_001346,3
id_001347,5
id_001348,2
id_001349,2
id_001350,3
id_001351,4
id_001352,2
id_001353,5
id_001354,3
id_001355,1
id_001356,5
id_001357,1
id_001358,2
id_001359,4
id_001360,2
id_001361,2
id_001362,5
id_001363,5
id_001364,1
id_001365,3
id_001366,2
id_001367,4
id_001368,3
id_001369,4
id_001370,2
id_001371,3
id_001372,2
id_001373,1
id_001374,3
id_001375,2
id_001376,3
id_001377,5
id_001378,1
id_001379,4
id_001380,4
id_001381,3
id_001382,1
id_001383,4
id_001384,1
id_001385,4
id_001386,5
id_001387,3
id_001388,2
id_001389,3
id_001390,1
id_001391,2
id_001392,5
id_001393,3
id_001394,2
id_001395,2
id_001396,3
id_001397,3
id_001398,4
id_001399,2
id_001400,3
id_001401,3
id_001402,1
id_001403,1
id_001404,3
id_001405,4
id_001406,4
id_001407,1
id_001408,1
id_001409,1
id_001410,2
id_001411,1
id_001412,1
id_001413,2
id_001414,2
id_001415,5
id_001416,1
id_001417,1
id_001418,1
id_001419,4
id_001420,1
id_001421,2
id_001422,1
id_001423,2
id_001424,1
id_001425,1
id_001426,3
id_001427,1
id_001428,5
id_001429,3
id_001430,3
id_001431,4
id_001432,1
id_001433,1
id_001434,3
id_001435,3
id_001436,3
id_001437,3
id_001438,2
id_001439,3
id_001440,5
id_001441,1
id_001442,5
id_001443,3
id_001444,3
id_001445,3
id_001446,3
id_001447,5
id_001448,2
id_001449,3
id_001450,1
id_001451,5
id_001452,4
id_001453,4
id_001454,5
id_001455,4
id_001456,3
id_001457,2
id_001458,3
id_001459,5
id_001460,4
id_001461,3
id_001462,3
id_001463,3
id_001464,2
id_001465,5
id_001466,2
id_001467,1
id_001468,3
id_001469,4
id_001470,4
id_001471,4
id_001472,2
id_001473,4
id_001474,2
id_001475,3
id_001476,5
id_001477,2
id_001478,2
id_001479,5
id_001480,3
id_001481,1
id_001482,5
id_001483,3
id_001484,3
id_001485,4
id_001486,3
id_001487,5
id_001488,3
id_001489,4
id_001490,5
id_001491,3
id_001492,1
id_001493,3
id_001494,5
id_001495,4
id_001496,3
id_001497,2
id_001498,5
id_001499,4
id_001500,1
id_001501,1
id_001502,4
id_001503,2
id_001504,3
id_001505,4
id_001506,3
id_001507,3
id_001508,1
id_001509,1
id_001510,3
id_001511,1
id_001512,4
id_001513,4
id_001514,3
id_001515,4
id_001516,1
id_001517,1
id_001518,2
id_001519,5
id_001520,2
id_001521,3
id_001522,5
id_001523,3
id_001524,4
id_001525,1
id_001526,4
id_001527,5
id_001528,4
id_001529,2
id_001530,3
id_001531,3
id_001532,5
id_001533,5
id_001534,3
id_001535,5
id_001536,3
id_001537,2
id_001538,1
id_001539,2
id_001540,2
id_001541,2
id_001542,4
id_001543,2
id_001544,5
id_001545,2
id_001546,3
id_001547,5
id_001548,2
id_001549,3
id_001550,1
id_001551,3
id_001552,3
id_001553,3
id_001554,3
id_001555,3
id_001556,2
id_001557,5
id_001558,4
id_001559,4
id_001560,3
id_001561,1
id_001562,5
id_001563,3
id_001564,4
id_001565,1
id_001566,5
id_001567,1
id_001568,2
id_001569,4
id_001570,1
id_001571,1
id_001572,5
id_001573,4
id_001574,2
id_001575,5
id_001576,3
id_001577,3
id_001578,5
id_001579,3
id_001580,3
id_001581,2
id_001582,3
id_001583,1
id_001584,5
id_001585,3
id_001586,4
id_001587,3
id_001588,2
id_001589,2
id_001590,2
id_001591,2
id_001592,1
id_001593,4
id_001594,2
id_001595,4
id_001596,1
id_001597,4
id_001598,2
id_001599,2
id_001600,3
id_001601,3
id_001602,1
id_001603,1
id_001604,3
id_001605,3
id_001606,4
id_001607,5
id_001608,4
id_001609,3
id_001610,5
id_001611,3
id_001612,1
id_001613,4
id_001614,2
id_001615,2
id_001616,1
id_001617,2
id_001618,3
id_001619,3
id_001620,4
id_001621,4
id_001622,2
id_001623,4
id_001624,4
id_001625,3
id_001626,4
id_001627,3
id_001628,2
id_001629,5
id_001630,1
id_001631,1
id_001632,2
id_001633,3
id_001634,2
id_001635,5
id_001636,3
id_001637,1
id_001638,1
id_001639,3
id_001640,4
id_001641,4
id_001642,4
id_001643,3
id_001644,5
id_001645,5
id_001646,5
id_001647,1
id_001648,3
id_001649,2
id_001650,5
id_001651,3
id_001652,5
id_001653,3
id_001654,1
id_001655,2
id_001656,5
id_001657,2
id_001658,3
id_001659,5
id_001660,5
id_001661,2
id_001662,5
id_001663,4
id_001664,2
id_001665,3
id_001666,3
id_001667,4
id_001668,3
id_001669,5
id_001670,3
id_001671,3
id_001672,3
id_001673,4
id_001674,3
id_001675,3
id_001676,5
id_001677,3
id_001678,5
id_001679,3
id_001680,4
id_001681,2
id_001682,5
id_001683,1
id_001684,1
id_001685,2
id_001686,5
id_001687,3
id_001688,1
id_001689,4
id_001690,3
id_001691,5
id_001692,3
id_001693,4
id_001694,3
id_001695,1
id_001696,2
id_001697,3
id_001698,3
id_001699,1
id_001700,4
id_001701,3
id_001702,1
id_001703,1
id_001704,4
id_001705,4
id_001706,3
id_001707,4
id_001708,3
id_001709,3
id_001710,1
id_001711,3
id_001712,3
id_001713,1
id_001714,3
